DRUH,ID_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN
Epidea calamita,STA_POKRVEGETACE,val,11-25 %,NA,ne,lok
Epidea calamita,STA_POKRVEGETACE,val,26-50 %,NA,ne,lok
Epidea calamita,STA_POKRVEGETACE,val,1-25 %,NA,ne,lok
Epidea calamita,STA_POKRVEGETACE,max,50,NA,ne,lok
Triturus cristatus,STA_POKRVEGETACE,val,1-10 %,NA,ne,lok
Triturus cristatus,STA_POKRVEGETACE,val,11-25 %,NA,ne,lok
Triturus cristatus,STA_POKRVEGETACE,val,26-50 %,NA,ne,lok
Triturus cristatus,STA_POKRVEGETACE,val,51-75 %,NA,ne,lok
Triturus cristatus,STA_POKRVEGETACE,min,1,NA,ne,lok
Triturus cristatus,STA_POKRVEGETACE,max,75,NA,ne,lok
Triturus carnifex,STA_POKRVEGETACE,val,1-10 %,NA,ne,lok
Triturus carnifex,STA_POKRVEGETACE,val,11-25 %,NA,ne,lok
Triturus carnifex,STA_POKRVEGETACE,val,26-50 %,NA,ne,lok
Triturus carnifex,STA_POKRVEGETACE,val,51-75 %,NA,ne,lok
Triturus carnifex,STA_POKRVEGETACE,min,1,NA,ne,lok
Triturus carnifex,STA_POKRVEGETACE,max,75,NA,ne,lok
Triturus dobrogicus,STA_POKRVEGETACE,val,1-10 %,NA,ne,lok
Triturus dobrogicus,STA_POKRVEGETACE,val,11-25 %,NA,ne,lok
Triturus dobrogicus,STA_POKRVEGETACE,val,26-50 %,NA,ne,lok
Triturus dobrogicus,STA_POKRVEGETACE,val,51-75 %,NA,ne,lok
Triturus dobrogicus,STA_POKRVEGETACE,min,1,NA,ne,lok
Triturus dobrogicus,STA_POKRVEGETACE,max,75,NA,ne,lok
Bombina bombina,STA_PRUHLEDNOSTVODA,val,až na dno,NA,ne,lok
Bombina bombina,STA_PRUHLEDNOSTVODA,val,nad 50 cm,NA,ne,lok
Bombina bombina,STA_PRUHLEDNOSTVODA,min,50,NA,ne,lok
Triturus cristatus,STA_PRUHLEDNOSTVODA,val,až na dno,NA,ne,lok
Triturus cristatus,STA_PRUHLEDNOSTVODA,val,nad 50 cm,NA,ne,lok
Triturus cristatus,STA_PRUHLEDNOSTVODA,min,50,NA,ne,lok
Triturus carnifex,STA_PRUHLEDNOSTVODA,val,až na dno,NA,ne,lok
Triturus carnifex,STA_PRUHLEDNOSTVODA,val,nad 50 cm,NA,ne,lok
Triturus carnifex,STA_PRUHLEDNOSTVODA,min,50,NA,ne,lok
Triturus dobrogicus,STA_PRUHLEDNOSTVODA,val,až na dno,NA,ne,lok
Triturus dobrogicus,STA_PRUHLEDNOSTVODA,val,nad 50 cm,NA,ne,lok
Triturus dobrogicus,STA_PRUHLEDNOSTVODA,min,50,NA,ne,lok
Bombina bombina,STA_ZASTINENIHLADINA,val,0-25 %,NA,ne,lok
Bombina bombina,STA_ZASTINENIHLADINA,val,26-50 %,NA,ne,lok
Bombina bombina,STA_ZASTINENIHLADINA,val,51-75 %,NA,ne,lok
Bombina bombina,STA_ZASTINENIHLADINA,max,75,NA,ne,lok
Bombina variegata,STA_ZASTINENIHLADINA,val,0-25 %,NA,ne,lok
Bombina variegata,STA_ZASTINENIHLADINA,val,26-50 %,NA,ne,lok
Bombina variegata,STA_ZASTINENIHLADINA,val,51-75 %,NA,ne,lok
Bombina variegata,STA_ZASTINENIHLADINA,max,75,NA,ne,lok
Bombina bombina,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Bombina variegata,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Epidea calamita,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Lissotriton montandoni,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Triturus cristatus,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Triturus carnifex,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Triturus dobrogicus,STA_UHYNOBOJZIVELNIK,val,ne,NA,ne,lok
Bombina bombina,VLV_VLIVY,NA,NA,NA,ne,lok
Bombina variegata,VLV_VLIVY,NA,NA,NA,ne,lok
Epidea calamita,VLV_VLIVY,NA,NA,NA,ne,lok
Lissotriton montandoni,VLV_VLIVY,NA,NA,NA,ne,lok
Triturus cristatus,VLV_VLIVY,NA,NA,NA,ne,lok
Triturus carnifex,VLV_VLIVY,NA,NA,NA,ne,lok
Triturus dobrogicus,VLV_VLIVY,NA,NA,NA,ne,lok
Bombina bombina,LOK_DILCPOCET,NA,NA,NA,ne,chu
Bombina variegata,LOK_DILCPOCET,NA,NA,NA,ne,chu
Epidea calamita,LOK_DILCPOCET,NA,NA,NA,ne,chu
Lissotriton montandoni,LOK_DILCPOCET,NA,NA,NA,ne,chu
Triturus cristatus,LOK_DILCPOCET,NA,NA,NA,ne,chu
Triturus carnifex,LOK_DILCPOCET,NA,NA,NA,ne,chu
Triturus dobrogicus,LOK_DILCPOCET,NA,NA,NA,ne,chu
Bombina bombina,LOK_DILCDOBRE,NA,NA,NA,ne,chu
Bombina variegata,LOK_DILCDOBRE,NA,NA,NA,ne,chu
Epidea calamita,LOK_DILCDOBRE,NA,NA,NA,ne,chu
Lissotriton montandoni,LOK_DILCDOBRE,NA,NA,NA,ne,chu
Triturus cristatus,LOK_DILCDOBRE,NA,NA,NA,ne,chu
Triturus carnifex,LOK_DILCDOBRE,NA,NA,NA,ne,chu
Triturus dobrogicus,LOK_DILCDOBRE,NA,NA,NA,ne,chu
stanoviste,ROZLOHA,,NA,NA,ne,lok
stanoviste,KVALITA,,NA,NA,ne,lok
stanoviste,TYPICKE_DRUHY,,NA,NA,ne,lok
stanoviste,MINIMIAREAL,,NA,NA,ne,lok
stanoviste,MINIMIAREAL_JADRA,,NA,NA,ne,lok
stanoviste,MINIMIAREAL_HODNOTA,,NA,NA,ne,lok
stanoviste,MOZAIKA_VNEJSI,,NA,NA,ne,lok
stanoviste,MOZAIKA_VNITRNI,,NA,NA,ne,lok
stanoviste,MOZAIKA_FIN,,NA,NA,ne,lok
stanoviste,RED_LIST,,NA,NA,ne,lok
stanoviste,INVASIVE,,NA,NA,ne,lok
stanoviste,EXPANSIVE,,NA,NA,ne,lok
stanoviste,MRTVE_DREVO,,NA,NA,ne,lok
stanoviste,KALAMITA_POLOM,,NA,NA,ne,lok
stanoviste,RED_LIST_SPECIES,,NA,NA,ne,lok
stanoviste,INVASIVE_LIST,,NA,NA,ne,lok
stanoviste,EXPANSIVE_LIST,,NA,NA,ne,lok
